@relation canaAcucarSP

@attribute Cidade {'Adamantina - SP','Adolfo - SP','Aguaí - SP','Águas de Santa Bárbara - SP','Agudos - SP','Alambari - SP','Altair - SP','Altinópolis - SP','Alto Alegre - SP','Alumínio - SP','Álvares Florence - SP','Americana - SP','Américo Brasiliense - SP','Américo de Campos - SP','Amparo - SP','Analândia - SP','Andradina - SP','Angatuba - SP','Anhembi - SP','Anhumas - SP','Aparecida dOeste - SP','Apiaí - SP','Araçariguama - SP','Araçatuba - SP','Araçoiaba da Serra - SP','Aramina - SP','Arandu - SP','Arapeí - SP','Araraquara - SP','Araras - SP','Arco-Íris - SP','Arealva - SP','Areias - SP','Areiópolis - SP','Ariranha - SP','Artur Nogueira - SP','Assis - SP','Atibaia - SP','Auriflama - SP','Avaí - SP','Avanhandava - SP','Avaré - SP','Bady Bassitt - SP','Balbinos - SP','Bálsamo - SP','Bananal - SP','Barbosa - SP','Bariri - SP','Barra Bonita - SP','Barretos - SP','Barrinha - SP','Bastos - SP','Batatais - SP','Bauru - SP','Bebedouro - SP','Bento de Abreu - SP','Bernardino de Campos - SP','Bilac - SP','Birigui - SP','Boa Esperança do Sul - SP','Bocaina - SP','Bofete - SP','Boituva - SP','Borá - SP','Boracéia - SP','Borborema - SP','Borebi - SP','Botucatu - SP','Bragança Paulista - SP','Braúna - SP','Brejo Alegre - SP','Brodowski - SP','Brotas - SP','Buritama - SP','Buritizal - SP','Cabrália Paulista - SP','Cabreúva - SP','Caçapava - SP','Caconde - SP','Cafelândia - SP','Caiabu - SP','Caiuá - SP','Cajobi - SP','Cajuru - SP','Campina do Monte Alegre - SP','Campinas - SP','Campos Novos Paulista - SP','Cândido Mota - SP','Cândido Rodrigues - SP','Canitar - SP','Capela do Alto - SP','Capivari - SP','Cardoso - SP','Casa Branca - SP','Cássia dos Coqueiros - SP','Castilho - SP','Catanduva - SP','Catiguá - SP','Cedral - SP','Cerqueira César - SP','Cerquilho - SP','Cesário Lange - SP','Charqueada - SP','Chavantes - SP','Clementina - SP','Colina - SP','Colômbia - SP','Conchal - SP','Conchas - SP','Cordeirópolis - SP','Coroados - SP','Coronel Macedo - SP','Corumbataí - SP','Cosmópolis - SP','Cosmorama - SP','Cravinhos - SP','Cristais Paulista - SP','Cruzália - SP','Cruzeiro - SP','Descalvado - SP','Divinolândia - SP','Dobrada - SP','Dois Córregos - SP','Dourado - SP','Dracena - SP','Duartina - SP','Dumont - SP','Echaporã - SP','Elias Fausto - SP','Elisiário - SP','Embaúba - SP','Emilianópolis - SP','Engenheiro Coelho - SP','Espírito Santo do Pinhal - SP','Espírito Santo do Turvo - SP','Estiva Gerbi - SP','Estrela do Norte - SP','Estrela dOeste - SP','Euclides da Cunha Paulista - SP','Fernando Prestes - SP','Fernandópolis - SP','Fernão - SP','Flora Rica - SP','Floreal - SP','Flórida Paulista - SP','Florínia - SP','Franca - SP','Gabriel Monteiro - SP','Gastão Vidigal - SP','Gavião Peixoto - SP','General Salgado - SP','Getulina - SP','Glicério - SP','Guaiçara - SP','Guaimbê - SP','Guaíra - SP','Guapiaçu - SP','Guará - SP','Guaraçaí - SP','Guaraci - SP','Guarani dOeste - SP','Guarantã - SP','Guararapes - SP','Guareí - SP','Guariba - SP','Guatapará - SP','Guzolândia - SP','Herculândia - SP','Holambra - SP','Hortolândia - SP','Iacanga - SP','Iacri - SP','Iaras - SP','Ibaté - SP','Ibirá - SP','Ibirarema - SP','Ibitinga - SP','Ibiúna - SP','Icém - SP','Iepê - SP','Igaraçu do Tietê - SP','Igarapava - SP','Ilha Solteira - SP','Indaiatuba - SP','Indiana - SP','Indiaporã - SP','Inúbia Paulista - SP','Ipaussu - SP','Iperó - SP','Ipeúna - SP','Ipiguá - SP','Ipuã - SP','Iracemápolis - SP','Irapuã - SP','Irapuru - SP','Itaberá - SP','Itaí - SP','Itajobi - SP','Itaju - SP','Itapetininga - SP','Itapeva - SP','Itapira - SP','Itápolis - SP','Itaporanga - SP','Itapuí - SP','Itapura - SP','Itatiba - SP','Itatinga - SP','Itirapina - SP','Itirapuã - SP','Itobi - SP','Itu - SP','Itupeva - SP','Ituverava - SP','Jaborandi - SP','Jaboticabal - SP','Jaci - SP','Jaguariúna - SP','Jardinópolis - SP','Jarinu - SP','Jaú - SP','Jeriquara - SP','Joanópolis - SP','João Ramalho - SP','José Bonifácio - SP','Júlio Mesquita - SP','Jumirim - SP','Jundiaí - SP','Junqueirópolis - SP','Laranjal Paulista - SP','Lavínia - SP','Leme - SP','Lençóis Paulista - SP','Limeira - SP','Lindóia - SP','Lins - SP','Lourdes - SP','Lucélia - SP','Lucianópolis - SP','Luís Antônio - SP','Luiziânia - SP','Lutécia - SP','Macatuba - SP','Macaubal - SP','Macedônia - SP','Magda - SP','Mairinque - SP','Manduri - SP','Marabá Paulista - SP','Maracaí - SP','Marapoama - SP','Mariápolis - SP','Marília - SP','Martinópolis - SP','Matão - SP','Mendonça - SP','Meridiano - SP','Mesópolis - SP','Miguelópolis - SP','Mineiros do Tietê - SP','Mira Estrela - SP','Mirandópolis - SP','Mirante do Paranapanema - SP','Mirassol - SP','Mirassolândia - SP','Mococa - SP','Mogi Guaçu - SP','Moji Mirim - SP','Mombuca - SP','Monções - SP','Monte Alegre do Sul - SP','Monte Alto - SP','Monte Aprazível - SP','Monte Azul Paulista - SP','Monte Castelo - SP','Monte Mor - SP','Morro Agudo - SP','Motuca - SP','Murutinga do Sul - SP','Nantes - SP','Narandiba - SP','Natividade da Serra - SP','Nazaré Paulista - SP','Neves Paulista - SP','Nhandeara - SP','Nipoã - SP','Nova Aliança - SP','Nova Canaã Paulista - SP','Nova Castilho - SP','Nova Europa - SP','Nova Granada - SP','Nova Guataporanga - SP','Nova Independência - SP','Nova Luzitânia - SP','Nova Odessa - SP','Novais - SP','Novo Horizonte - SP','Nuporanga - SP','Ocauçu - SP','Óleo - SP','Olímpia - SP','Onda Verde - SP','Oriente - SP','Orindiúva - SP','Orlândia - SP','Oscar Bressane - SP','Osvaldo Cruz - SP','Ourinhos - SP','Ouro Verde - SP','Ouroeste - SP','Pacaembu - SP','Palestina - SP','Palmares Paulista - SP','Palmital - SP','Paraguaçu Paulista - SP','Paraibuna - SP','Paraíso - SP','Paranapanema - SP','Paranapuã - SP','Parapuã - SP','Pardinho - SP','Pariquera-Açu - SP','Parisi - SP','Patrocínio Paulista - SP','Paulicéia - SP','Paulínia - SP','Paulistânia - SP','Paulo de Faria - SP','Pederneiras - SP','Pedra Bela - SP','Pedranópolis - SP','Pedregulho - SP','Pedreira - SP','Pedrinhas Paulista - SP','Penápolis - SP','Pereira Barreto - SP','Pereiras - SP','Piacatu - SP','Piedade - SP','Pindamonhangaba - SP','Pindorama - SP','Piquerobi - SP','Piracaia - SP','Piracicaba - SP','Piraju - SP','Pirajuí - SP','Pirangi - SP','Pirapozinho - SP','Pirassununga - SP','Piratininga - SP','Pitangueiras - SP','Planalto - SP','Platina - SP','Poloni - SP','Pompéia - SP','Pongaí - SP','Pontal - SP','Pontalinda - SP','Pontes Gestal - SP','Populina - SP','Porangaba - SP','Porto Feliz - SP','Porto Ferreira - SP','Potirendaba - SP','Pracinha - SP','Pradópolis - SP','Pratânia - SP','Presidente Alves - SP','Presidente Bernardes - SP','Presidente Epitácio - SP','Presidente Prudente - SP','Presidente Venceslau - SP','Promissão - SP','Quadra - SP','Quatá - SP','Queiroz - SP','Queluz - SP','Quintana - SP','Rafard - SP','Rancharia - SP','Regente Feijó - SP','Reginópolis - SP','Restinga - SP','Ribeira - SP','Ribeirão Bonito - SP','Ribeirão Corrente - SP','Ribeirão do Sul - SP','Ribeirão dos Índios - SP','Ribeirão Preto - SP','Rifaina - SP','Rincão - SP','Rinópolis - SP','Rio Claro - SP','Rio das Pedras - SP','Riolândia - SP','Riversul - SP','Rosana - SP','Rubiácea - SP','Sabino - SP','Sagres - SP','Sales - SP','Sales Oliveira - SP','Salmourão - SP','Saltinho - SP','Salto - SP','Salto de Pirapora - SP','Salto Grande - SP','Sandovalina - SP','Santa Adélia - SP','Santa Albertina - SP','Santa Bárbara dOeste - SP','Santa Cruz da Conceição - SP','Santa Cruz da Esperança - SP','Santa Cruz das Palmeiras - SP','Santa Cruz do Rio Pardo - SP','Santa Ernestina - SP','Santa Gertrudes - SP','Santa Lúcia - SP','Santa Maria da Serra - SP','Santa Mercedes - SP','Santa Rita do Passa Quatro - SP','Santa Rosa de Viterbo - SP','Santa Salete - SP','Santana da Ponte Pensa - SP','Santo Anastácio - SP','Santo Antônio da Alegria - SP','Santo Antônio de Posse - SP','Santo Antônio do Aracanguá - SP','Santo Expedito - SP','Santópolis do Aguapeí - SP','São Carlos - SP','São João da Boa Vista - SP','São João das Duas Pontes - SP','São João de Iracema - SP','São Joaquim da Barra - SP','São José da Bela Vista - SP','São José do Barreiro - SP','São José do Rio Pardo - SP','São José do Rio Preto - SP','São José dos Campos - SP','São Luís do Paraitinga - SP','São Manuel - SP','São Pedro - SP','São Pedro do Turvo - SP','São Roque - SP','São Sebastião da Grama - SP','São Simão - SP','Sarutaiá - SP','Sebastianópolis do Sul - SP','Serra Azul - SP','Serra Negra - SP','Serrana - SP','Sertãozinho - SP','Severínia - SP','Silveiras - SP','Socorro - SP','Sorocaba - SP','Sud Mennucci - SP','Sumaré - SP','Suzanápolis - SP','Tabapuã - SP','Tabatinga - SP','Taciba - SP','Taguaí - SP','Taiaçu - SP','Taiúva - SP','Tambaú - SP','Tanabi - SP','Tapiraí - SP','Tapiratiba - SP','Taquaral - SP','Taquaritinga - SP','Taquarituba - SP','Taquarivaí - SP','Tarabai - SP','Tarumã - SP','Tatuí - SP','Tejupá - SP','Teodoro Sampaio - SP','Terra Roxa - SP','Tietê - SP','Timburi - SP','Torrinha - SP','Trabiju - SP','Tupã - SP','Tupi Paulista - SP','Turiúba - SP','Turmalina - SP','Ubarana - SP','Ubirajara - SP','Uchoa - SP','União Paulista - SP','Urânia - SP','Uru - SP','Urupês - SP','Valentim Gentil - SP','Valparaíso - SP','Vargem - SP','Vargem Grande do Sul - SP','Viradouro - SP','Vista Alegre do Alto - SP','Vitória Brasil - SP','Votorantim - SP','Votuporanga - SP','Zacarias - SP'}
@attribute 'Área plantada (Hectares)' numeric
@attribute 'Área colhida (Hectares)' numeric
@attribute 'Quantidade produzida (Toneladas)' numeric
@attribute 'Valor da produção (Mil Reais)' numeric
@attribute 'Rendimento médio da produção (Quilogramas por Hectare)' numeric
@attribute 'rendimento por hectare' numeric
@attribute 'arado subsolador' numeric
@attribute 'carregadeira de cana' numeric
@attribute 'conjunto de irrigação aotopropelido' numeric
@attribute terraceador numeric
@attribute engenho numeric
@attribute 'Total máquinas' numeric
@attribute upa-cana numeric
@attribute 'upa total' numeric

@data
'Paraíso - SP',7094,7094,602990,18090,85000,85,12,16,0,9,1,38,219,571
'Paranapanema - SP',300,300,15000,450,50000,50,72,1,13,13,0,99,144,1423
'Paranapuã - SP',50,50,4500,126,90000,90,17,0,12,3,0,32,28,421
'Parapuã - SP',7100,6800,476000,16879,70000,70,8,0,1,9,1,19,120,1210
'Pardinho - SP',290,290,17400,435,60000,60,1,0,0,6,1,8,54,645
'Pariquera-Açu - SP',157,157,1884,61,12000,12,3,0,0,0,0,3,8,854
'Parisi - SP',180,180,19800,554,110000,110,1,4,3,0,0,8,70,387
'Patrocínio Paulista - SP',12000,12000,1200000,33600,100000,100,18,2,4,5,0,29,239,1280
'Paulicéia - SP',5980,5980,598000,16744,100000,100,1,0,0,0,0,1,103,443
'Paulínia - SP',2543,2543,178010,4984,70000,70,2,4,0,2,0,8,17,235
'Paulistânia - SP',1764,1764,103878,4259,58887,58.887,0,0,0,0,0,0,125,520
'Paulo de Faria - SP',25770,25770,2190450,65714,85000,85,34,1,5,15,1,56,199,643
'Pederneiras - SP',38900,38900,3112000,130082,80000,80,25,31,2,9,0,67,623,1366
'Pedra Bela - SP',30,30,1200,42,40000,40,8,0,0,0,0,8,13,963
'Pedranópolis - SP',3000,3000,225000,5573,75000,75,13,0,4,4,0,21,49,671
'Pedregulho - SP',5800,5800,464000,12992,80000,80,46,18,1,7,0,72,144,1457
'Pedreira - SP',30,30,1800,58,60000,60,1,0,0,0,0,1,14,410
'Pedrinhas Paulista - SP',1434,1434,182187,5830,127048,127.048,80,0,4,11,1,96,18,814
'Penápolis - SP',38000,38000,3040000,98496,80000,80,37,50,2,23,5,117,779,1928
'Pereira Barreto - SP',14637,14637,1317330,43472,90000,90,16,1,14,11,1,43,249,1054
'Pereiras - SP',450,450,32400,1069,72000,72,8,2,0,3,10,23,219,1731
'Piacatu - SP',6180,6180,481360,13767,77889,77.889,4,0,0,2,0,6,42,580
'Piedade - SP',52,52,2607,73,50134,50.134,160,16,10,13,12,211,54,6039
'Pindamonhangaba - SP',30,30,1800,58,60000,60,47,5,7,24,8,91,124,1839
'Pindorama - SP',9000,9000,765000,22950,85000,85,8,16,1,9,1,35,273,872
'Piquerobi - SP',2789,2789,278900,8088,100000,100,8,11,1,8,0,28,59,541
'Piracaia - SP',200,200,9000,315,45000,45,1,0,3,0,4,8,61,1829
'Piracicaba - SP',50000,50000,4000000,128000,80000,80,50,181,10,26,7,274,1530,3778
'Piraju - SP',1000,1000,80000,2320,80000,80,55,1,4,3,1,64,92,1173
'Pirajuí - SP',7800,7800,624000,25584,80000,80,25,1,0,11,0,37,188,1170
'Pirangi - SP',10000,10000,800000,25920,80000,80,31,2,6,2,0,41,435,1584
'Pirapozinho - SP',9972,9972,698040,20941,70000,70,6,0,0,5,2,13,113,822
'Pirassununga - SP',20000,20000,1700000,34850,85000,85,11,16,7,3,2,39,543,1867
'Piratininga - SP',140,140,9500,390,67857,67.857,10,0,0,3,4,17,204,1358
'Pitangueiras - SP',34162,34162,2562150,78402,75000,75,71,63,9,2,2,147,597,1079
'Planalto - SP',8000,8000,720000,20592,90000,90,16,4,2,7,0,29,97,363
'Platina - SP',6800,6800,544000,17408,80000,80,5,0,0,3,0,8,79,510
'Poloni - SP',2500,2500,225000,6075,90000,90,4,3,0,1,0,8,152,511
'Pompéia - SP',4270,4270,427000,13835,100000,100,34,4,0,6,0,44,164,872
'Pongaí - SP',250,250,25000,750,100000,100,3,3,1,2,1,10,55,382
'Pontal - SP',22330,22330,1786400,71456,80000,80,19,58,4,6,1,88,287,301
'Pontalinda - SP',900,900,81000,2268,90000,90,14,10,1,8,1,34,55,502
'Pontes Gestal - SP',10000,10000,1000000,32400,100000,100,8,2,13,6,9,38,58,322
'Populina - SP',7600,7600,684000,19152,90000,90,4,0,0,3,0,7,137,663
'Porangaba - SP',300,300,15000,481,50000,50,12,0,1,1,8,22,249,1652
'Porto Feliz - SP',15500,15500,1240000,43561,80000,80,35,34,2,12,2,85,489,1903
'Porto Ferreira - SP',4800,4800,480000,15744,100000,100,12,24,32,3,4,75,157,549
'Potirendaba - SP',11340,11340,1020600,30618,90000,90,16,7,0,10,2,35,450,1860
'Pracinha - SP',1255,1255,87850,2652,70000,70,0,0,0,0,0,0,20,127
'Pradópolis - SP',15057,15057,1279854,51194,85000,85,35,22,0,2,0,59,146,697
'Pratânia - SP',9675,9675,774000,25078,80000,80,7,1,0,2,3,13,111,496
'Presidente Alves - SP',2752,2752,224027,9185,81405,81.405,5,3,0,2,0,10,133,763
'Presidente Bernardes - SP',2000,2000,140000,4200,70000,70,27,9,0,7,4,47,339,2257
'Presidente Epitácio - SP',1850,1850,129500,3756,70000,70,16,0,0,7,0,23,465,2231
'Presidente Prudente - SP',13195,13195,1187550,35627,90000,90,23,29,12,8,3,75,367,3191
'Presidente Venceslau - SP',7479,7479,538488,15616,72000,72,10,5,3,6,0,24,212,1946
'Promissão - SP',28000,28000,2240000,72576,80000,80,29,34,17,15,11,106,640,3976
'Quadra - SP',3000,3000,300000,9600,100000,100,41,0,5,5,2,53,118,926
'Quatá - SP',26868,26868,1880760,53921,70000,70,3,0,0,1,1,5,133,584
'Queiroz - SP',7009,1904,194208,6887,102000,102,0,1,1,2,0,4,26,135
'Queluz - SP',79,79,4302,215,54455,54.455,4,3,0,0,0,7,63,503
'Quintana - SP',4000,4000,400000,14184,100000,100,9,8,2,4,0,23,80,490
'Rafard - SP',8865,8865,602820,19893,68000,68,31,55,0,9,0,95,153,290
'Rancharia - SP',16388,16388,1348289,38655,82272,82.272,56,9,2,25,0,92,349,2077
'Regente Feijó - SP',2265,2265,158550,4757,70000,70,26,13,1,6,1,47,118,995
'Reginópolis - SP',1921,1921,153680,8606,80000,80,15,2,2,7,0,26,105,525
'Restinga - SP',14000,14000,1120000,36288,80000,80,22,1,3,4,0,30,133,800
'Ribeira - SP',100,100,7500,225,75000,75,1,0,0,0,3,4,91,794
'Ribeirão Bonito - SP',16000,16000,1120000,36288,70000,70,5,5,0,1,0,11,331,761
'Ribeirão Corrente - SP',2200,2200,220000,7128,100000,100,22,0,1,2,1,26,63,670
'Ribeirão do Sul - SP',2900,2900,261000,8456,90000,90,22,4,1,4,0,31,86,697
'Ribeirão dos Índios - SP',2860,2860,286000,8580,100000,100,1,0,0,1,0,2,81,499
'Ribeirão Preto - SP',37108,37108,3154180,126167,85000,85,27,21,2,3,1,54,264,974
'Rifaina - SP',2140,2140,171200,4794,80000,80,2,0,0,2,0,4,36,189
'Rincão - SP',19600,19600,1568000,26656,80000,80,16,2,0,7,1,26,123,241
'Rinópolis - SP',3100,3000,240000,8510,80000,80,8,0,6,6,0,20,103,1307
'Rio Claro - SP',14050,14050,1264500,42993,90000,90,17,43,3,4,1,68,451,1759
'Rio das Pedras - SP',15227,15227,1218160,41417,80000,80,43,48,6,5,1,103,315,637
'Riolândia - SP',15200,15200,1368000,44323,90000,90,17,0,3,7,3,30,162,652
'Riversul - SP',500,500,50000,1500,100000,100,14,0,0,2,0,16,188,1251
'Rosana - SP',700,700,49000,1421,70000,70,10,0,0,6,1,17,239,2120
'Rubiácea - SP',12212,12212,1221200,34071,100000,100,4,1,0,4,0,9,85,306
'Sabino - SP',2000,2000,152960,4956,76480,76.48,17,6,4,6,1,34,86,373
'Sagres - SP',2600,2600,195000,5887,75000,75,1,0,0,0,1,2,106,604
'Sales - SP',5500,5500,385000,11550,70000,70,1,0,0,1,1,3,83,508
'Sales Oliveira - SP',21629,21629,1946646,56453,90001,90.001,23,9,0,5,0,37,221,479
'Salmourão - SP',4000,4000,360000,10868,90000,90,2,4,0,5,0,11,63,358
'Saltinho - SP',4880,4880,390400,13274,80000,80,8,19,1,0,0,28,168,544
'Salto - SP',800,800,56000,1967,70000,70,11,0,6,0,0,17,41,281
'Salto de Pirapora - SP',252,252,17522,491,69531,69.531,9,0,4,0,1,14,16,601
'Salto Grande - SP',2000,2000,160000,5184,80000,80,35,0,3,2,0,40,1,607
'Sandovalina - SP',17000,17000,1360000,40800,80000,80,7,2,0,7,1,17,90,586
'Santa Adélia - SP',16000,16000,1440000,43200,90000,90,2,5,2,5,2,16,447,944
'Santa Albertina - SP',563,563,50670,1419,90000,90,11,2,1,6,0,20,150,897
'Santa Bárbara dOeste - SP',12992,12992,960000,28800,73891,73.891,1,22,0,0,2,25,251,470
'Santa Cruz da Conceição - SP',3680,3680,204000,7140,55434,55.434,35,2,2,3,0,42,255,903
'Santa Cruz da Esperança - SP',4700,4700,352500,14100,75000,75,1,4,0,0,0,5,255,261
'Santa Cruz das Palmeiras - SP',17600,17600,1496000,48470,85000,85,37,8,10,0,1,56,175,455
'Santa Cruz do Rio Pardo - SP',22850,22850,1828000,59227,80000,80,101,8,3,37,1,150,262,2584
'Santa Ernestina - SP',6900,6900,655500,21238,95000,95,0,0,0,0,0,0,128,233
'Santa Gertrudes - SP',4600,4600,368000,12512,80000,80,1,3,0,0,0,4,45,114
'Santa Lúcia - SP',13800,13800,1173000,19941,85000,85,14,8,0,2,0,24,89,174
'Santa Maria da Serra - SP',4000,4000,317856,10171,79464,79.464,11,3,0,1,0,15,87,521
'Santa Mercedes - SP',5700,5700,570000,17100,100000,100,0,0,0,3,0,3,72,289
'Santa Rita do Passa Quatro - SP',19618,19618,1570000,54950,80028,80.028,18,6,0,6,10,40,378,1505
'Santa Rosa de Viterbo - SP',10000,10000,800000,23800,80000,80,8,5,0,0,1,14,268,1066
'Santa Salete - SP',110,110,9900,277,90000,90,10,0,1,1,1,13,63,638
'Santana da Ponte Pensa - SP',100,100,12000,384,120000,120,1,0,0,0,0,1,79,629
'Santo Anastácio - SP',3200,3200,272000,8160,85000,85,17,0,0,11,1,29,117,1233
'Santo Antônio da Alegria - SP',715,715,57200,1702,80000,80,19,1,2,8,4,34,245,1511
'Santo Antônio de Posse - SP',3000,3000,243000,7873,81000,81,22,3,10,0,0,35,47,549
'Santo Antônio do Aracanguá - SP',22200,22200,1887000,52647,85000,85,32,18,2,17,0,69,222,732
'Santo Expedito - SP',2500,2500,175000,5250,70000,70,3,0,0,0,0,3,73,429
'Santópolis do Aguapeí - SP',4237,4237,480548,13744,113417,113.417,1,3,1,3,0,8,45,207
'São Carlos - SP',23000,23000,1932000,62597,84000,84,62,11,14,19,2,108,432,1776
'São João da Boa Vista - SP',8000,8000,800000,25920,100000,100,19,1,0,2,4,26,268,2332
'São João das Duas Pontes - SP',500,500,40000,1199,80000,80,4,0,0,4,0,8,68,358
'São João de Iracema - SP',2087,2087,155779,5141,74642,74.642,5,12,0,2,1,20,136,407
'São Joaquim da Barra - SP',25000,25000,2500000,72500,100000,100,32,16,0,28,0,76,176,372
'São José da Bela Vista - SP',18000,18000,1620000,52488,90000,90,31,6,0,4,1,42,223,647
'São José do Barreiro - SP',52,52,3129,156,60173,60.173,0,6,1,0,1,8,93,911
'São José do Rio Pardo - SP',1440,1440,129600,4251,90000,90,257,1,1,0,0,259,258,3067
'São José do Rio Preto - SP',4000,4000,320000,9600,80000,80,11,0,10,5,6,32,204,1801
'São José dos Campos - SP',200,200,6000,192,30000,30,20,0,0,0,2,22,161,2390
'São Luís do Paraitinga - SP',21,21,417,13,19857,19.857,4,1,1,3,6,15,212,2747
'São Manuel - SP',35000,35000,3150000,102060,90000,90,8,62,2,9,1,82,165,752
'São Pedro - SP',13000,13000,780000,24960,60000,60,5,5,0,0,0,10,216,1037
'São Pedro do Turvo - SP',6000,6000,480000,15552,80000,80,27,1,0,7,2,37,92,1636
'São Roque - SP',84,84,5006,140,59595,59.595,4,0,1,0,0,5,6,415
'São Sebastião da Grama - SP',470,470,42300,1269,90000,90,13,2,2,1,5,23,71,1363
'São Simão - SP',29850,29850,2388280,71051,80009,80.009,13,12,2,7,0,34,228,547
'Sarutaiá - SP',200,200,16000,432,80000,80,1,0,1,0,1,3,23,464
'Sebastianópolis do Sul - SP',4000,4000,400000,10800,100000,100,5,7,0,4,1,17,207,595
'Serra Azul - SP',14163,14163,991410,29494,70000,70,1,6,0,1,0,8,142,267
'Serra Negra - SP',400,400,40000,1296,100000,100,3,1,1,0,14,19,42,1475
'Serrana - SP',7200,7200,597600,23904,83000,83,17,36,20,1,0,74,58,104
'Sertãozinho - SP',30450,30450,2527350,101094,83000,83,81,78,13,8,1,181,552,621
'Severínia - SP',8690,8690,738650,13296,85000,85,7,2,2,0,0,11,140,378
'Silveiras - SP',10,10,626,31,62600,62.6,1,1,0,2,2,6,199,2053
'Socorro - SP',240,240,16800,588,70000,70,5,0,0,0,1,6,229,6077
'Sorocaba - SP',210,210,16687,467,79461,79.461,26,0,1,3,0,30,64,908
'Sud Mennucci - SP',10117,10117,812735,26820,80333,80.333,14,13,0,10,2,39,161,504
'Sumaré - SP',5000,5000,300000,8100,60000,60,7,2,0,2,0,11,91,322
'Suzanápolis - SP',8000,8000,720000,23760,90000,90,5,1,0,16,0,22,82,548
'Tabapuã - SP',16600,16600,1494000,44820,90000,90,8,2,0,3,1,14,468,1240
'Tabatinga - SP',6660,6660,586080,17582,88000,88,40,7,0,7,2,56,252,2187
'Taciba - SP',3650,3650,219000,6570,60000,60,6,0,0,4,0,10,106,853
'Taguaí - SP',52,52,4160,112,80000,80,15,4,0,0,0,19,24,621
'Taiaçu - SP',4400,4400,396000,7128,90000,90,22,4,0,1,0,27,177,804
'Taiúva - SP',7200,7200,684000,12312,95000,95,27,2,1,1,0,31,221,540
'Tambaú - SP',28500,28500,2280000,47880,80000,80,18,6,15,2,1,42,362,1351
'Tanabi - SP',22000,22000,2200000,59400,100000,100,31,10,7,12,0,60,623,3122
'Tapiraí - SP',52,52,3129,81,60173,60.173,8,0,2,0,1,11,1,687
'Tapiratiba - SP',4450,4450,373800,12111,84000,84,11,20,0,1,0,32,78,610
'Taquaral - SP',1000,1000,9000,275,9000,9,8,0,0,0,0,8,68,172
'Taquaritinga - SP',25700,25700,2441500,79105,95000,95,45,30,4,9,0,88,653,2731
'Taquarituba - SP',1600,1600,112000,3360,70000,70,102,4,23,5,7,141,123,2024
'Taquarivaí - SP',2000,2000,60000,1800,30000,30,9,0,9,3,0,21,11,426
'Tarabai - SP',1100,1100,71500,2145,65000,65,10,5,0,1,1,17,73,542
'Tarumã - SP',21471,21471,1870125,59844,87100,87.1,64,44,16,16,1,141,303,598
'Tatuí - SP',8530,8530,762667,24710,89409,89.409,52,13,7,5,0,77,176,1363
'Tejupá - SP',150,150,12000,356,80000,80,30,0,0,7,4,41,6,877
'Teodoro Sampaio - SP',26400,26400,1689600,48998,64000,64,11,0,0,10,2,23,290,1835
'Terra Roxa - SP',15200,15200,1292000,23256,85000,85,22,0,3,8,0,33,335,478
'Tietê - SP',14600,14600,1460000,47304,100000,100,47,40,0,4,0,91,435,1681
'Timburi - SP',348,348,27840,791,80000,80,9,0,0,1,0,10,24,465
'Torrinha - SP',8711,8711,740435,13328,85000,85,35,3,1,5,1,45,311,1967
'Trabiju - SP',3348,3348,267840,4553,80000,80,9,1,2,0,1,13,45,125
'Tupã - SP',6022,3522,228930,8118,65000,65,23,2,6,8,3,42,161,1941
'Tupi Paulista - SP',2300,2300,184000,5962,80000,80,13,1,2,2,5,23,159,1587
'Turiúba - SP',2625,2625,325395,9306,123960,123.96,8,1,0,0,1,10,128,515
'Turmalina - SP',470,470,42300,1184,90000,90,7,0,0,1,0,8,5,529
'Ubarana - SP',9064,9064,725120,21754,80000,80,7,0,0,3,1,11,51,186
'Ubirajara - SP',207,207,13910,389,67198,67.198,5,0,0,1,0,6,42,1023
'Uchoa - SP',13150,13150,986250,29588,75000,75,4,1,0,1,0,6,288,803
'União Paulista - SP',3700,3700,333000,8991,90000,90,1,3,0,1,0,5,92,288
'Urânia - SP',103,103,9270,260,90000,90,17,8,1,1,0,27,204,1424
'Uru - SP',500,500,25000,810,50000,50,2,0,0,0,0,2,46,343
'Urupês - SP',15000,15000,1200000,36000,80000,80,4,1,1,4,14,24,352,1613
'Valentim Gentil - SP',300,300,33000,990,110000,110,3,1,1,2,0,7,124,672
'Valparaíso - SP',40000,40000,3200000,89280,80000,80,2,34,1,32,1,70,170,520
'Vargem - SP',21,21,945,33,45000,45,2,0,0,1,1,4,6,421
'Vargem Grande do Sul - SP',5200,5200,442000,14321,85000,85,8,0,2,1,0,11,153,1132
'Viradouro - SP',16470,16470,1399950,25199,85000,85,66,2,2,4,0,74,477,749
'Vista Alegre do Alto - SP',4200,4200,377000,12215,89761,89.761,36,35,15,16,0,102,101,624
'Vitória Brasil - SP',200,200,18000,504,90000,90,12,6,0,3,0,21,16,333
'Votorantim - SP',126,126,8761,245,69531,69.531,2,0,0,1,0,3,8,126
'Votuporanga - SP',5600,5600,504000,16330,90000,90,14,2,4,4,1,25,355,1890
'Zacarias - SP',4000,4000,490652,14033,122663,122.663,14,2,3,3,0,22,133,518
